time_step,iter,episodes,episode_reward_max,episode_reward_min,episode_reward_mean,policy_loss_0,total_loss_0,policy_loss_1,total_loss_1,policy_loss_2,total_loss_2,policy_loss_3,total_loss_3,policy_loss_4,total_loss_4,policy_reward_max_0,policy_reward_max_1,policy_reward_max_2,policy_reward_max_3,policy_reward_max_4,policy_reward_min_0,policy_reward_min_1,policy_reward_min_2,policy_reward_min_3,policy_reward_min_4,policy_reward_mean_0,policy_reward_mean_1,policy_reward_mean_2,policy_reward_mean_3,policy_reward_mean_4
52000,26,0,nan,nan,nan,5.18281e-07,21416952000.0,3.0454248e-07,21410898000.0,-6.807968e-07,21411004000.0,-3.3341348e-07,21410044000.0,-0.00033252337,21413170000.0,,,,,,,,,,,,,,,
54000,27,0,nan,nan,nan,2.1327287e-07,21404916000.0,-2.8125942e-07,21398060000.0,3.594905e-07,21397381000.0,2.9383227e-07,21398643000.0,-0.00041029276,21399360000.0,,,,,,,,,,,,,,,
56000,28,0,nan,nan,nan,6.519258e-08,21389646000.0,-5.1548705e-07,21380911000.0,2.933666e-07,21381210000.0,8.940697e-08,21380590000.0,-0.0004738269,21382230000.0,,,,,,,,,,,,,,,
58000,29,0,nan,nan,nan,4.2282045e-07,21378712000.0,1.3690442e-07,21368713000.0,1.4877878e-07,21369560000.0,-7.450581e-09,21368920000.0,0.0043051243,21370819000.0,,,,,,,,,,,,,,,
60000,30,0,nan,nan,nan,4.582107e-07,21360527000.0,4.4703484e-08,21350756000.0,1.0384247e-07,21352130000.0,7.916242e-08,21349863000.0,8.100527e-06,21355026000.0,,,,,,,,,,,,,,,
62000,31,20,150050000.0,150050000.0,150050000.0,2.0535663e-07,21040400000.0,-3.7252903e-08,21034355000.0,-9.452924e-08,21035262000.0,-2.7939677e-08,21026531000.0,1.4805235e-05,21040333000.0,30010000.0,30010000.0,30010000.0,30010000.0,30010000.0,30010000.0,30010000.0,30010000.0,30010000.0,30010000.0,30010000.0,30010000.0,30010000.0,30010000.0,30010000.0
64000,32,20,150050000.0,150050000.0,150050000.0,-4.656613e-08,21312356000.0,4.5169145e-08,21291311000.0,-2.491288e-07,21290928000.0,-5.159527e-07,21283000000.0,0.008935544,21304674000.0,30010000.0,30010000.0,30010000.0,30010000.0,30010000.0,30010000.0,30010000.0,30010000.0,30010000.0,30010000.0,30010000.0,30010000.0,30010000.0,30010000.0,30010000.0
66000,33,20,150050000.0,150050000.0,150050000.0,-2.8219074e-07,21268277000.0,-3.5297126e-07,21252545000.0,1.9324943e-08,21253585000.0,4.2992178e-07,21254005000.0,-5.3085387e-08,21275677000.0,30010000.0,30010000.0,30010000.0,30010000.0,30010000.0,30010000.0,30010000.0,30010000.0,30010000.0,30010000.0,30010000.0,30010000.0,30010000.0,30010000.0,30010000.0
68000,34,20,150050000.0,150050000.0,150050000.0,5.9604645e-08,21268066000.0,1.6624108e-07,21249696000.0,-1.6577542e-07,21257077000.0,1.1920929e-07,21247353000.0,3.8722646e-08,21257280000.0,30010000.0,30010000.0,30010000.0,30010000.0,30010000.0,30010000.0,30010000.0,30010000.0,30010000.0,30010000.0,30010000.0,30010000.0,30010000.0,30010000.0,30010000.0
70000,35,20,150050000.0,150050000.0,150050000.0,2.6635826e-07,21221016000.0,-2.986053e-07,21195504000.0,1.0523945e-07,21198772000.0,1.359731e-07,21194867000.0,-2.477318e-07,21220235000.0,30010000.0,30010000.0,30010000.0,30010000.0,30010000.0,30010000.0,30010000.0,30010000.0,30010000.0,30010000.0,30010000.0,30010000.0,30010000.0,30010000.0,30010000.0
72000,36,20,150050000.0,150050000.0,150050000.0,-1.4581019e-07,21193904000.0,-6.426126e-08,21167722000.0,-6.740447e-08,21173318000.0,1.4901161e-08,21165883000.0,3.3073593e-07,21187360000.0,30010000.0,30010000.0,30010000.0,30010000.0,30010000.0,30010000.0,30010000.0,30010000.0,30010000.0,30010000.0,30010000.0,30010000.0,30010000.0,30010000.0,30010000.0
74000,37,20,150050000.0,150050000.0,150050000.0,9.126961e-08,21173250000.0,2.933666e-07,21145672000.0,-2.477318e-07,21146790000.0,-3.3294782e-08,21148619000.0,1.6344711e-07,21179754000.0,30010000.0,30010000.0,30010000.0,30010000.0,30010000.0,30010000.0,30010000.0,30010000.0,30010000.0,30010000.0,30010000.0,30010000.0,30010000.0,30010000.0,30010000.0
76000,38,20,150050000.0,150050000.0,150050000.0,2.4866313e-07,21110534000.0,1.899898e-07,21086935000.0,-2.2631139e-07,21087461000.0,-1.3783574e-07,21077750000.0,4.5169145e-08,21112158000.0,30010000.0,30010000.0,30010000.0,30010000.0,30010000.0,30010000.0,30010000.0,30010000.0,30010000.0,30010000.0,30010000.0,30010000.0,30010000.0,30010000.0,30010000.0
78000,39,20,150050000.0,150050000.0,150050000.0,5.159527e-07,21105494000.0,1.3725366e-07,21061255000.0,-2.2724271e-07,21061972000.0,2.6915222e-07,21057400000.0,-4.6938658e-07,21100003000.0,30010000.0,30010000.0,30010000.0,30010000.0,30010000.0,30010000.0,30010000.0,30010000.0,30010000.0,30010000.0,30010000.0,30010000.0,30010000.0,30010000.0,30010000.0
80000,40,20,150050000.0,150050000.0,150050000.0,-2.5890768e-07,21021802000.0,-5.7742e-08,20989331000.0,-1.010485e-07,20997861000.0,1.0058284e-07,20981457000.0,8.568168e-08,21020160000.0,30010000.0,30010000.0,30010000.0,30010000.0,30010000.0,30010000.0,30010000.0,30010000.0,30010000.0,30010000.0,30010000.0,30010000.0,30010000.0,30010000.0,30010000.0
82000,41,20,150050000.0,150050000.0,150050000.0,2.561137e-09,20999627000.0,-5.5879354e-08,20954382000.0,3.8999133e-07,20957108000.0,-1.899898e-07,20957133000.0,-1.6781269e-07,20992735000.0,30010000.0,30010000.0,30010000.0,30010000.0,30010000.0,30010000.0,30010000.0,30010000.0,30010000.0,30010000.0,30010000.0,30010000.0,30010000.0,30010000.0,30010000.0
